time,value
-0.00950963,1
-0.00950946,0
-0.00950929,0
-0.00950912,1
-0.00950895,1
-0.00950878,1
-0.00950861,1
-0.00950844,1
-0.00950827,0
-0.0095081,0
-0.00950793,0
-0.00950776,0
-0.00950759,1
-0.00950742,1
-0.00950725,1
-0.00950708,1
-0.00950691,1
-0.00950674,0
-0.00950657,0
-0.0095064,0
-0.00950623,0
-0.00950606,0
-0.00950589,1
-0.00950572,1
-0.00950555,0
-0.00950538,0
-0.00950521,1
-0.00950504,1
-0.00950487,1
-0.0095047,1
-0.00950453,1
-0.00950436,0
-0.00950419,0
-0.00950402,0
-0.00950385,0
-0.00950368,0
-0.00950351,1
-0.00950334,1
-0.00950317,1
-0.009503,1
-0.00950283,1
-0.00950266,0
-0.00950249,0
-0.00950232,1
-0.00950215,1
-0.00950198,0
-0.00950181,0
-0.00950164,0
-0.00950147,0
-0.0095013,0
-0.00950113,0
-0.00950096,0
-0.00950079,1
-0.00950062,1
-0.00950045,1
-0.00950028,1
-0.00950011,1
-0.00949994,0
-0.00949977,0
-0.0094996,0
-0.00949943,0
-0.00949926,0
-0.00949909,1
-0.00949892,1
-0.00949875,1
-0.00949858,1
-0.00949841,1
-0.00949824,0
-0.00949807,0
-0.0094979,0
-0.00949773,0
-0.00949756,1
-0.00949739,1
-0.00949722,1
-0.00949705,0
-0.00949688,0
-0.00949671,1
-0.00949654,1
-0.00949637,0
-0.0094962,0
-0.00949603,0
-0.00949586,1
-0.00949569,1
-0.00949552,1
-0.00949535,1
-0.00949518,0
-0.00949501,0
-0.00949484,0
-0.00949467,0
-0.0094945,0
-0.00949433,1
-0.00949416,1
-0.00949399,1
-0.00949382,1
-0.00949365,1
-0.00949348,0
-0.00949331,0
-0.00949314,0
-0.00949297,0
-0.0094928,0
-0.00949263,0
-0.00949246,0
-0.00949229,1
-0.00949212,1
-0.00949195,1
-0.00949178,1
-0.00949161,1
-0.00949144,0
-0.00949127,0
-0.0094911,1
-0.00949093,1
-0.00949076,0
-0.00949059,0
-0.00949042,0
-0.00949025,1
-0.00949008,1
-0.00948991,0
-0.00948974,0
-0.00948957,0
-0.0094894,0
-0.00948923,0
-0.00948906,1
-0.00948889,1
-0.00948872,1
-0.00948855,1
-0.00948838,0
-0.00948821,0
-0.00948804,0
-0.00948787,0
-0.0094877,0
-0.00948753,1
-0.00948736,1
-0.00948719,1
-0.00948702,1
-0.00948685,1
-0.00948668,0
-0.00948651,0
-0.00948634,0
-0.00948617,0
-0.009486,1
-0.00948583,1
-0.00948566,1
-0.00948549,0
-0.00948532,0
-0.00948515,0
-0.00948498,0
-0.00948481,1
-0.00948464,1
-0.00948447,1
-0.0094843,1
-0.00948413,1
-0.00948396,0
-0.00948379,0
-0.00948362,0
-0.00948345,0
-0.00948328,0
-0.00948311,1
-0.00948294,1
-0.00948277,1
-0.0094826,1
-0.00948243,1
-0.00948226,0
-0.00948209,0
-0.00948192,0
-0.00948175,0
-0.00948158,1
-0.00948141,1
-0.00948124,1
-0.00948107,1
-0.0094809,1
-0.00948073,0
-0.00948056,0
-0.00948039,1
-0.00948022,1
-0.00948005,1
-0.00947988,0
-0.00947971,0
-0.00947954,1
-0.00947937,1
-0.0094792,0
-0.00947903,0
-0.00947886,0
-0.00947869,1
-0.00947852,1
-0.00947835,0
-0.00947818,0
-0.00947801,0
-0.00947784,0
-0.00947767,0
-0.0094775,1
-0.00947733,1
-0.00947716,0
-0.00947699,0
-0.00947682,0
-0.00947665,0
-0.00947648,0
-0.00947631,1
-0.00947614,1
-0.00947597,1
-0.0094758,1
-0.00947563,1
-0.00947546,0
-0.00947529,0
-0.00947512,1
-0.00947495,1
-0.00947478,0
-0.00947461,0
-0.00947444,0
-0.00947427,0
-0.0094741,0
-0.00947393,1
-0.00947376,1
-0.00947359,1
-0.00947342,1
-0.00947325,1
-0.00947308,0
-0.00947291,0
-0.00947274,0
-0.00947257,0
-0.0094724,1
-0.00947223,1
-0.00947206,1
-0.00947189,0
-0.00947172,0
-0.00947155,1
-0.00947138,1
-0.00947121,1
-0.00947104,1
-0.00947087,1
-0.0094707,0
-0.00947053,0
-0.00947036,0
-0.00947019,0
-0.00947002,0
-0.00946985,0
-0.00946968,0
-0.00946951,1
-0.00946934,1
-0.00946917,1
-0.009469,1
-0.00946883,1
-0.00946866,0
-0.00946849,0
-0.00946832,1
-0.00946815,1
-0.00946798,1
-0.00946781,1
-0.00946764,1
-0.00946747,0
-0.0094673,0
-0.00946713,0
-0.00946696,0
-0.00946679,0
-0.00946662,0
-0.00946645,0
-0.00946628,1
-0.00946611,1
-0.00946594,1
-0.00946577,1
-0.0094656,0
-0.00946543,0
-0.00946526,0
-0.00946509,1
-0.00946492,1
-0.00946475,0
-0.00946458,0
-0.00946441,0
-0.00946424,0
-0.00946407,0
-0.0094639,1
-0.00946373,1
-0.00946356,0
-0.00946339,0
-0.00946322,0
-0.00946305,1
-0.00946288,1
-0.00946271,0
-0.00946254,0
-0.00946237,1
-0.0094622,1
-0.00946203,1
-0.00946186,0
-0.00946169,0
-0.00946152,1
-0.00946135,1
-0.00946118,0
-0.00946101,0
-0.00946084,0
-0.00946067,1
-0.0094605,1
-0.00946033,0
-0.00946016,0
-0.00945999,1
-0.00945982,1
-0.00945965,1
-0.00945948,0
-0.00945931,0
-0.00945914,0
-0.00945897,0
-0.0094588,1
-0.00945863,1
-0.00945846,1
-0.00945829,0
-0.00945812,0
-0.00945795,1
-0.00945778,1
-0.00945761,1
-0.00945744,1
-0.00945727,1
-0.0094571,0
-0.00945693,0
-0.00945676,0
-0.00945659,0
-0.00945642,0
-0.00945625,1
-0.00945608,1
-0.00945591,1
-0.00945574,1
-0.00945557,0
-0.0094554,0
-0.00945523,0
-0.00945506,0
-0.00945489,0
-0.00945472,1
-0.00945455,1
-0.00945438,0
-0.00945421,0
-0.00945404,0
-0.00945387,1
-0.0094537,1
-0.00945353,0
-0.00945336,0
-0.00945319,1
-0.00945302,1
-0.00945285,1
-0.00945268,0
-0.00945251,0
-0.00945234,0
-0.00945217,0
-0.009452,1
-0.00945183,1
-0.00945166,1
-0.00945149,1
-0.00945132,1
-0.00945115,0
-0.00945098,0
-0.00945081,0
-0.00945064,0
-0.00945047,0
-0.0094503,1
-0.00945013,1
-0.00944996,1
-0.00944979,1
-0.00944962,1
-0.00944945,0
-0.00944928,0
-0.00944911,0
-0.00944894,0
-0.00944877,1
-0.0094486,1
-0.00944843,1
-0.00944826,1
-0.00944809,1
-0.00944792,0
-0.00944775,0
-0.00944758,0
-0.00944741,0
-0.00944724,0
-0.00944707,1
-0.0094469,1
-0.00944673,0
-0.00944656,0
-0.00944639,0
-0.00944622,0
-0.00944605,0
-0.00944588,1
-0.00944571,1
-0.00944554,1
-0.00944537,1
-0.0094452,0
-0.00944503,0
-0.00944486,0
-0.00944469,0
-0.00944452,0
-0.00944435,1
-0.00944418,1
-0.00944401,1
-0.00944384,1
-0.00944367,1
-0.0094435,0
-0.00944333,0
-0.00944316,0
-0.00944299,0
-0.00944282,0
-0.00944265,1
-0.00944248,1
-0.00944231,0
-0.00944214,0
-0.00944197,1
-0.0094418,1
-0.00944163,1
-0.00944146,1
-0.00944129,1
-0.00944112,0
-0.00944095,0
-0.00944078,0
-0.00944061,0
-0.00944044,0
-0.00944027,1
-0.0094401,1
-0.00943993,1
-0.00943976,1
-0.00943959,0
-0.00943942,0
-0.00943925,0
-0.00943908,0
-0.00943891,0
-0.00943874,0
-0.00943857,0
-0.0094384,1
-0.00943823,1
-0.00943806,1
-0.00943789,1
-0.00943772,1
-0.00943755,0
-0.00943738,0
-0.00943721,0
-0.00943704,0
-0.00943687,0
-0.0094367,1
-0.00943653,1
-0.00943636,0
-0.00943619,0
-0.00943602,0
-0.00943585,1
-0.00943568,1
-0.00943551,0
-0.00943534,0
-0.00943517,1
-0.009435,1
-0.00943483,1
-0.00943466,1
-0.00943449,1
-0.00943432,0
-0.00943415,0
-0.00943398,0
-0.00943381,0
-0.00943364,0
-0.00943347,1
-0.0094333,1
-0.00943313,0
-0.00943296,0
-0.00943279,1
-0.00943262,1
-0.00943245,1
-0.00943228,0
-0.00943211,0
-0.00943194,0
-0.00943177,0
-0.0094316,1
-0.00943143,1
-0.00943126,1
-0.00943109,1
-0.00943092,1
-0.00943075,0
-0.00943058,0
-0.00943041,1
-0.00943024,1
-0.00943007,1
-0.0094299,0
-0.00942973,0
-0.00942956,0
-0.00942939,0
-0.00942922,0
-0.00942905,1
-0.00942888,1
-0.00942871,1
-0.00942854,1
